2019-01-23-21-15;3534.6147;3535.9694;3532.8178;3532.8178;0;0;
2019-01-23-21-30;3532.5129;3539.8830;3532.2611;3538.9313;0;0;
2019-01-23-21-45;3539.4276;3544.8298;3539.1711;3544.2154;0;0;
2019-01-23-22-00;3544.2115;3554.9623;3543.8067;3552.9480;0;0;
2019-01-23-22-15;3552.9441;3558.2523;3548.0964;3556.5333;0;0;
2019-01-23-22-30;3556.5294;3556.5398;3550.3081;3553.6545;0;0;
2019-01-23-22-45;3553.8196;3554.8995;3551.2879;3553.8992;0;0;
2019-01-23-23-00;3554.0412;3554.2480;3547.2784;3548.6494;0;0;
2019-01-23-23-15;3548.6113;3549.2996;3546.4453;3548.3939;0;0;
2019-01-23-23-30;3548.3901;3553.8057;3548.3901;3552.1166;0;0;
2019-01-23-23-45;3552.1128;3556.0214;3551.2942;3553.5107;0;0;
2019-01-24-00-00;3553.7670;3556.8919;3552.4218;3556.8919;0;0;
2019-01-24-00-15;3556.7625;3557.0534;3550.3715;3550.5736;0;0;
2019-01-24-00-30;3550.5698;3554.2958;3549.9221;3554.2958;0;0;
2019-01-24-00-45;3554.2929;3557.8646;3553.9247;3557.3803;0;0;
2019-01-24-01-00;3558.0443;3558.1559;3550.3568;3550.3606;0;0;
2019-01-24-01-15;3549.5404;3554.2820;3549.5131;3552.5609;0;0;
2019-01-24-01-30;3552.5418;3553.1274;3542.9170;3543.0856;0;0;
2019-01-24-01-45;3543.0894;3543.1534;3534.1818;3540.9231;0;0;
2019-01-24-02-00;3540.7823;3542.9736;3536.9909;3541.0688;0;0;
2019-01-24-02-15;3541.2096;3544.5818;3539.9236;3543.9799;0;0;
2019-01-24-02-30;3544.1633;3548.6008;3543.0293;3547.4128;0;0;
2019-01-24-02-45;3547.4090;3547.8711;3545.1284;3546.2266;0;0;
2019-01-24-03-00;3546.2228;3547.7752;3546.0611;3546.5892;0;0;
2019-01-24-03-15;3546.5854;3546.7702;3541.2401;3541.6665;0;0;
2019-01-24-03-30;3541.6627;3543.7479;3538.0306;3538.0373;0;0;
2019-01-24-03-45;3538.0363;3538.0363;3531.3991;3534.9890;0;0;
2019-01-24-04-00;3534.9700;3543.9363;3534.0454;3541.8579;0;0;
2019-01-24-04-15;3541.8541;3542.5772;3540.0931;3542.1163;0;0;
2019-01-24-04-30;3542.1979;3542.6796;3539.9186;3540.1841;0;0;
2019-01-24-04-45;3540.4391;3541.4257;3539.3398;3539.9968;0;0;
2019-01-24-05-00;3540.0007;3541.0292;3538.8369;3539.0111;0;0;
2019-01-24-05-15;3539.2471;3539.7038;3533.6441;3534.2117;0;0;
2019-01-24-05-30;3534.9049;3536.8924;3534.0112;3535.4300;0;0;
2019-01-24-05-45;3535.4534;3535.9358;3529.7360;3531.5858;0;0;
2019-01-24-06-00;3531.5896;3539.3283;3531.2071;3538.6623;0;0;
2019-01-24-06-15;3538.7401;3540.6731;3536.5661;3538.5343;0;0;
2019-01-24-06-30;3538.5305;3539.5011;3534.8881;3535.6890;0;0;
2019-01-24-06-45;3535.6852;3536.1602;3534.7836;3535.1051;0;0;
2019-01-24-07-00;3535.1389;3537.4543;3534.2315;3537.1204;0;0;
